source,category_name,brand_name,signal_date,signal_type,signal_value,signal_unit,text,url,notes
,Audio Content,SoundCloud,2025-01-01,,,,,,
,Audio Content,SoundCloud,2025-02-01,,,,,,
,Audio Content,SoundCloud,2025-03-01,,,,,,
,Audio Content,Spotify,2024-09-01,,,,,,
,Audio Content,Spotify,2024-10-01,,,,,,
,Audio Content,Spotify,2024-11-01,,,,,,
,Audio Content,Spotify,2024-12-01,,,,,,
,Audio Content,Spotify,2025-01-01,,,,,,
,Audio Content,Spotify,2025-02-01,,,,,,
,Audio Content,Spotify,2025-03-01,,,,,,
,Audio Content,Wondery,2024-09-01,,,,,,
,Audio Content,Wondery,2024-10-01,,,,,,
,Audio Content,Wondery,2024-11-01,,,,,,
,Audio Content,Wondery,2024-12-01,,,,,,
,Audio Content,Wondery,2025-01-01,,,,,,
,Audio Content,Wondery,2025-02-01,,,,,,
,Audio Content,Wondery,2025-03-01,,,,,,
,Audio Content,YouTube,2024-09-01,,,,,,
,Audio Content,YouTube,2024-10-01,,,,,,
,Audio Content,YouTube,2024-11-01,,,,,,
,Audio Content,YouTube,2024-12-01,,,,,,
,Audio Content,YouTube,2025-01-01,,,,,,
,Audio Content,YouTube,2025-02-01,,,,,,
,Audio Content,YouTube,2025-03-01,,,,,,
,Audio Content,iHeartRadio,2024-09-01,,,,,,
,Audio Content,iHeartRadio,2024-10-01,,,,,,
,Audio Content,iHeartRadio,2024-11-01,,,,,,
,Audio Content,iHeartRadio,2024-12-01,,,,,,
,Audio Content,iHeartRadio,2025-01-01,,,,,,
,Audio Content,iHeartRadio,2025-02-01,,,,,,
,Audio Content,iHeartRadio,2025-03-01,,,,,,
,Garden Care,BioGuano,2024-09-01,,,,,,
,Garden Care,BioGuano,2024-10-01,,,,,,
,Garden Care,BioGuano,2024-11-01,,,,,,
,Garden Care,BioGuano,2024-12-01,,,,,,
,Garden Care,BioGuano,2025-01-01,,,,,,
,Garden Care,BioGuano,2025-02-01,,,,,,
,Garden Care,BioGuano,2025-03-01,,,,,,
,Garden Care,Brunnings,2024-09-01,,,,,,
,Garden Care,Brunnings,2024-10-01,,,,,,
,Garden Care,Brunnings,2024-11-01,,,,,,
,Garden Care,Brunnings,2024-12-01,,,,,,
,Garden Care,Brunnings,2025-01-01,,,,,,
,Garden Care,Brunnings,2025-02-01,,,,,,
,Garden Care,Brunnings,2025-03-01,,,,,,
,Garden Care,Garden Basics,2024-09-01,,,,,,
,Garden Care,Garden Basics,2024-10-01,,,,,,
,Garden Care,Garden Basics,2024-11-01,,,,,,
,Garden Care,Garden Basics,2024-12-01,,,,,,
,Garden Care,Garden Basics,2025-01-01,,,,,,
,Garden Care,Garden Basics,2025-02-01,,,,,,
,Garden Care,Garden Basics,2025-03-01,,,,,,
,Garden Care,Neutrog,2024-09-01,,,,,,
,Garden Care,Neutrog,2024-10-01,,,,,,
,Garden Care,Neutrog,2024-11-01,,,,,,
,Garden Care,Neutrog,2024-12-01,,,,,,
,Garden Care,Neutrog,2025-01-01,,,,,,
,Garden Care,Neutrog,2025-02-01,,,,,,
,Garden Care,Neutrog,2025-03-01,,,,,,
,Garden Care,PowerFeed,2024-09-01,,,,,,
,Garden Care,PowerFeed,2024-10-01,,,,,,
,Garden Care,PowerFeed,2024-11-01,,,,,,
,Garden Care,PowerFeed,2024-12-01,,,,,,
,Garden Care,PowerFeed,2025-01-01,,,,,,
,Garden Care,PowerFeed,2025-02-01,,,,,,
,Garden Care,PowerFeed,2025-03-01,,,,,,
,Garden Care,Richgro,2024-09-01,,,,,,
,Garden Care,Richgro,2024-10-01,,,,,,
,Garden Care,Richgro,2024-11-01,,,,,,
,Garden Care,Richgro,2024-12-01,,,,,,
,Garden Care,Richgro,2025-01-01,,,,,,
,Garden Care,Richgro,2025-02-01,,,,,,
,Garden Care,Richgro,2025-03-01,,,,,,
,Garden Care,Scotts,2024-09-01,,,,,,
,Garden Care,Scotts,2024-10-01,,,,,,
,Garden Care,Scotts,2024-11-01,,,,,,
,Garden Care,Scotts,2024-12-01,,,,,,
,Garden Care,Scotts,2025-01-01,,,,,,
,Garden Care,Scotts,2025-02-01,,,,,,
,Garden Care,Scotts,2025-03-01,,,,,,
,Garden Care,Seasol,2024-09-01,,,,,,
,Garden Care,Seasol,2024-10-01,,,,,,
,Garden Care,Seasol,2024-11-01,,,,,,
,Garden Care,Seasol,2024-12-01,,,,,,
,Garden Care,Seasol,2025-01-01,,,,,,
,Garden Care,Seasol,2025-02-01,,,,,,
,Garden Care,Seasol,2025-03-01,,,,,,
,Garden Care,Yates,2024-09-01,,,,,,
,Garden Care,Yates,2024-10-01,,,,,,
,Garden Care,Yates,2024-11-01,,,,,,
,Garden Care,Yates,2024-12-01,,,,,,
,Garden Care,Yates,2025-01-01,,,,,,
,Garden Care,Yates,2025-02-01,,,,,,
,Garden Care,Yates,2025-03-01,,,,,,
,Household Cleaners (Indoor),Ajax,2024-09-01,,,,,,
,Household Cleaners (Indoor),Ajax,2024-10-01,,,,,,
,Household Cleaners (Indoor),Ajax,2024-11-01,,,,,,
,Household Cleaners (Indoor),Ajax,2024-12-01,,,,,,
,Household Cleaners (Indoor),Ajax,2025-01-01,,,,,,
,Household Cleaners (Indoor),Ajax,2025-02-01,,,,,,
,Household Cleaners (Indoor),Ajax,2025-03-01,,,,,,
,Household Cleaners (Indoor),Bosisto's,2024-09-01,,,,,,
,Household Cleaners (Indoor),Bosisto's,2024-10-01,,,,,,
,Household Cleaners (Indoor),Bosisto's,2024-11-01,,,,,,
,Household Cleaners (Indoor),Bosisto's,2024-12-01,,,,,,
,Household Cleaners (Indoor),Bosisto's,2025-01-01,,,,,,
,Household Cleaners (Indoor),Bosisto's,2025-02-01,,,,,,
,Household Cleaners (Indoor),Bosisto's,2025-03-01,,,,,,
,Household Cleaners (Indoor),Dettol,2024-09-01,,,,,,
,Household Cleaners (Indoor),Dettol,2024-10-01,,,,,,
,Household Cleaners (Indoor),Dettol,2024-11-01,,,,,,
,Household Cleaners (Indoor),Dettol,2024-12-01,,,,,,
,Household Cleaners (Indoor),Dettol,2025-01-01,,,,,,
,Household Cleaners (Indoor),Dettol,2025-02-01,,,,,,
,Household Cleaners (Indoor),Dettol,2025-03-01,,,,,,
,Household Cleaners (Indoor),Earth Choice,2024-09-01,,,,,,
,Household Cleaners (Indoor),Earth Choice,2024-10-01,,,,,,
,Household Cleaners (Indoor),Earth Choice,2024-11-01,,,,,,
,Household Cleaners (Indoor),Earth Choice,2024-12-01,,,,,,
,Household Cleaners (Indoor),Earth Choice,2025-01-01,,,,,,
,Household Cleaners (Indoor),Earth Choice,2025-02-01,,,,,,
,Household Cleaners (Indoor),Earth Choice,2025-03-01,,,,,,
,Household Cleaners (Indoor),Earthwise,2024-09-01,,,,,,
,Household Cleaners (Indoor),Earthwise,2024-10-01,,,,,,
,Household Cleaners (Indoor),Earthwise,2024-11-01,,,,,,
,Household Cleaners (Indoor),Earthwise,2024-12-01,,,,,,
,Household Cleaners (Indoor),Earthwise,2025-01-01,,,,,,
,Household Cleaners (Indoor),Earthwise,2025-02-01,,,,,,
,Household Cleaners (Indoor),Earthwise,2025-03-01,,,,,,
,Household Cleaners (Indoor),Ecostore,2024-09-01,,,,,,
,Household Cleaners (Indoor),Ecostore,2024-10-01,,,,,,
,Household Cleaners (Indoor),Ecostore,2024-11-01,,,,,,
,Household Cleaners (Indoor),Ecostore,2024-12-01,,,,,,
,Household Cleaners (Indoor),Ecostore,2025-01-01,,,,,,
,Household Cleaners (Indoor),Ecostore,2025-02-01,,,,,,
,Household Cleaners (Indoor),Ecostore,2025-03-01,,,,,,
,Household Cleaners (Indoor),Koala Eco,2024-09-01,,,,,,
,Household Cleaners (Indoor),Koala Eco,2024-10-01,,,,,,
,Household Cleaners (Indoor),Koala Eco,2024-11-01,,,,,,
,Household Cleaners (Indoor),Koala Eco,2024-12-01,,,,,,
,Household Cleaners (Indoor),Koala Eco,2025-01-01,,,,,,
,Household Cleaners (Indoor),Koala Eco,2025-02-01,,,,,,
,Household Cleaners (Indoor),Koala Eco,2025-03-01,,,,,,
,Household Cleaners (Indoor),Koh,2024-09-01,,,,,,
,Household Cleaners (Indoor),Koh,2024-10-01,,,,,,
,Household Cleaners (Indoor),Koh,2024-11-01,,,,,,
,Household Cleaners (Indoor),Koh,2024-12-01,,,,,,
,Household Cleaners (Indoor),Koh,2025-01-01,,,,,,
,Household Cleaners (Indoor),Koh,2025-02-01,,,,,,
,Household Cleaners (Indoor),Koh,2025-03-01,,,,,,
,Household Cleaners (Indoor),Lucent Globe,2024-09-01,,,,,,
,Household Cleaners (Indoor),Lucent Globe,2024-10-01,,,,,,
,Household Cleaners (Indoor),Lucent Globe,2024-11-01,,,,,,
,Household Cleaners (Indoor),Lucent Globe,2024-12-01,,,,,,
,Household Cleaners (Indoor),Lucent Globe,2025-01-01,,,,,,
,Household Cleaners (Indoor),Lucent Globe,2025-02-01,,,,,,
,Household Cleaners (Indoor),Lucent Globe,2025-03-01,,,,,,
,Household Cleaners (Indoor),Organic Choice,2024-09-01,,,,,,
,Household Cleaners (Indoor),Organic Choice,2024-10-01,,,,,,
,Household Cleaners (Indoor),Organic Choice,2024-11-01,,,,,,
,Household Cleaners (Indoor),Organic Choice,2024-12-01,,,,,,
,Household Cleaners (Indoor),Organic Choice,2025-01-01,,,,,,
,Household Cleaners (Indoor),Organic Choice,2025-02-01,,,,,,
,Household Cleaners (Indoor),Organic Choice,2025-03-01,,,,,,
,Household Cleaners (Indoor),Pine O Cleen,2024-09-01,,,,,,
,Household Cleaners (Indoor),Pine O Cleen,2024-10-01,,,,,,
,Household Cleaners (Indoor),Pine O Cleen,2024-11-01,,,,,,
,Household Cleaners (Indoor),Pine O Cleen,2024-12-01,,,,,,
,Household Cleaners (Indoor),Pine O Cleen,2025-01-01,,,,,,
,Household Cleaners (Indoor),Pine O Cleen,2025-02-01,,,,,,
,Household Cleaners (Indoor),Pine O Cleen,2025-03-01,,,,,,
,Household Cleaners (Indoor),Pleasant State,2024-09-01,,,,,,
,Household Cleaners (Indoor),Pleasant State,2024-10-01,,,,,,
,Household Cleaners (Indoor),Pleasant State,2024-11-01,,,,,,
,Household Cleaners (Indoor),Pleasant State,2024-12-01,,,,,,
,Household Cleaners (Indoor),Pleasant State,2025-01-01,,,,,,
,Household Cleaners (Indoor),Pleasant State,2025-02-01,,,,,,
,Household Cleaners (Indoor),Pleasant State,2025-03-01,,,,,,
,Household Cleaners (Indoor),Skipper (formerly Tirtyl),2024-09-01,,,,,,
,Household Cleaners (Indoor),Skipper (formerly Tirtyl),2024-10-01,,,,,,
,Household Cleaners (Indoor),Skipper (formerly Tirtyl),2024-11-01,,,,,,
,Household Cleaners (Indoor),Skipper (formerly Tirtyl),2024-12-01,,,,,,
,Household Cleaners (Indoor),Skipper (formerly Tirtyl),2025-01-01,,,,,,
,Household Cleaners (Indoor),Skipper (formerly Tirtyl),2025-02-01,,,,,,
,Household Cleaners (Indoor),Skipper (formerly Tirtyl),2025-03-01,,,,,,
,Household Cleaners (Indoor),Thankyou,2024-09-01,,,,,,
,Household Cleaners (Indoor),Thankyou,2024-10-01,,,,,,
,Household Cleaners (Indoor),Thankyou,2024-11-01,,,,,,
,Household Cleaners (Indoor),Thankyou,2024-12-01,,,,,,
,Household Cleaners (Indoor),Thankyou,2025-01-01,,,,,,
,Household Cleaners (Indoor),Thankyou,2025-02-01,,,,,,
,Household Cleaners (Indoor),Thankyou,2025-03-01,,,,,,
,Household Cleaners (Indoor),Undo This Mess,2024-09-01,,,,,,
,Household Cleaners (Indoor),Undo This Mess,2024-10-01,,,,,,
,Household Cleaners (Indoor),Undo This Mess,2024-11-01,,,,,,
,Household Cleaners (Indoor),Undo This Mess,2024-12-01,,,,,,
,Household Cleaners (Indoor),Undo This Mess,2025-01-01,,,,,,
,Household Cleaners (Indoor),Undo This Mess,2025-02-01,,,,,,
,Household Cleaners (Indoor),Undo This Mess,2025-03-01,,,,,,
,Household Cleaners (Indoor),White King,2024-09-01,,,,,,
,Household Cleaners (Indoor),White King,2024-10-01,,,,,,
,Household Cleaners (Indoor),White King,2024-11-01,,,,,,
,Household Cleaners (Indoor),White King,2024-12-01,,,,,,
,Household Cleaners (Indoor),White King,2025-01-01,,,,,,
,Household Cleaners (Indoor),White King,2025-02-01,,,,,,
,Household Cleaners (Indoor),White King,2025-03-01,,,,,,
,Household Cleaners (Indoor),Zero Co,2024-09-01,,,,,,
,Household Cleaners (Indoor),Zero Co,2024-10-01,,,,,,
,Household Cleaners (Indoor),Zero Co,2024-11-01,,,,,,
,Household Cleaners (Indoor),Zero Co,2024-12-01,,,,,,
,Household Cleaners (Indoor),Zero Co,2025-01-01,,,,,,
,Household Cleaners (Indoor),Zero Co,2025-02-01,,,,,,
,Household Cleaners (Indoor),Zero Co,2025-03-01,,,,,,
,Liquor Retailer,BWS,2024-09-01,,,,,,
,Liquor Retailer,BWS,2024-10-01,,,,,,
,Liquor Retailer,BWS,2024-11-01,,,,,,
,Liquor Retailer,BWS,2024-12-01,,,,,,
,Liquor Retailer,BWS,2025-01-01,,,,,,
,Liquor Retailer,BWS,2025-02-01,,,,,,
,Liquor Retailer,BWS,2025-03-01,,,,,,
,Liquor Retailer,Bottlemart,2024-09-01,,,,,,
,Liquor Retailer,Bottlemart,2024-10-01,,,,,,
,Liquor Retailer,Bottlemart,2024-11-01,,,,,,
,Liquor Retailer,Bottlemart,2024-12-01,,,,,,
,Liquor Retailer,Bottlemart,2025-01-01,,,,,,
,Liquor Retailer,Bottlemart,2025-02-01,,,,,,
,Liquor Retailer,Bottlemart,2025-03-01,,,,,,
,Liquor Retailer,Cellarbrations,2024-09-01,,,,,,
,Liquor Retailer,Cellarbrations,2024-10-01,,,,,,
,Liquor Retailer,Cellarbrations,2024-11-01,,,,,,
,Liquor Retailer,Cellarbrations,2024-12-01,,,,,,
,Liquor Retailer,Cellarbrations,2025-01-01,,,,,,
,Liquor Retailer,Cellarbrations,2025-02-01,,,,,,
,Liquor Retailer,Cellarbrations,2025-03-01,,,,,,
,Liquor Retailer,Dan Murphy's,2024-09-01,,,,,,
,Liquor Retailer,Dan Murphy's,2024-10-01,,,,,,
,Liquor Retailer,Dan Murphy's,2024-11-01,,,,,,
,Liquor Retailer,Dan Murphy's,2024-12-01,,,,,,
,Liquor Retailer,Dan Murphy's,2025-01-01,,,,,,
,Liquor Retailer,Dan Murphy's,2025-02-01,,,,,,
,Liquor Retailer,Dan Murphy's,2025-03-01,,,,,,
,Liquor Retailer,First Choice,2024-09-01,,,,,,
,Liquor Retailer,First Choice,2024-10-01,,,,,,
,Liquor Retailer,First Choice,2024-11-01,,,,,,
,Liquor Retailer,First Choice,2024-12-01,,,,,,
,Liquor Retailer,First Choice,2025-01-01,,,,,,
,Liquor Retailer,First Choice,2025-02-01,,,,,,
,Liquor Retailer,First Choice,2025-03-01,,,,,,
,Liquor Retailer,Harry Brown,2024-09-01,,,,,,
,Liquor Retailer,Harry Brown,2024-10-01,,,,,,
,Liquor Retailer,Harry Brown,2024-11-01,,,,,,
,Liquor Retailer,Harry Brown,2024-12-01,,,,,,
,Liquor Retailer,Harry Brown,2025-01-01,,,,,,
,Liquor Retailer,Harry Brown,2025-02-01,,,,,,
,Liquor Retailer,Harry Brown,2025-03-01,,,,,,
,Liquor Retailer,Liquor Legends,2024-09-01,,,,,,
,Liquor Retailer,Liquor Legends,2024-10-01,,,,,,
,Liquor Retailer,Liquor Legends,2024-11-01,,,,,,
,Liquor Retailer,Liquor Legends,2024-12-01,,,,,,
,Liquor Retailer,Liquor Legends,2025-01-01,,,,,,
,Liquor Retailer,Liquor Legends,2025-02-01,,,,,,
,Liquor Retailer,Liquor Legends,2025-03-01,,,,,,
,Liquor Retailer,Liquorland,2024-09-01,,,,,,
,Liquor Retailer,Liquorland,2024-10-01,,,,,,
,Liquor Retailer,Liquorland,2024-11-01,,,,,,
,Liquor Retailer,Liquorland,2024-12-01,,,,,,
,Liquor Retailer,Liquorland,2025-01-01,,,,,,
,Liquor Retailer,Liquorland,2025-02-01,,,,,,
,Liquor Retailer,Liquorland,2025-03-01,,,,,,
,Liquor Retailer,SipnSave,2024-09-01,,,,,,
,Liquor Retailer,SipnSave,2024-10-01,,,,,,
,Liquor Retailer,SipnSave,2024-11-01,,,,,,
,Liquor Retailer,SipnSave,2024-12-01,,,,,,
,Liquor Retailer,SipnSave,2025-01-01,,,,,,
,Liquor Retailer,SipnSave,2025-02-01,,,,,,
,Liquor Retailer,SipnSave,2025-03-01,,,,,,
,Liquor Retailer,The Bottle-O,2024-09-01,,,,,,
,Liquor Retailer,The Bottle-O,2024-10-01,,,,,,
,Liquor Retailer,The Bottle-O,2024-11-01,,,,,,
,Liquor Retailer,The Bottle-O,2024-12-01,,,,,,
,Liquor Retailer,The Bottle-O,2025-01-01,,,,,,
,Liquor Retailer,The Bottle-O,2025-02-01,,,,,,
,Liquor Retailer,The Bottle-O,2025-03-01,,,,,,
,Liquor Retailer,Thirstycamel,2024-09-01,,,,,,
,Liquor Retailer,Thirstycamel,2024-10-01,,,,,,
,Liquor Retailer,Thirstycamel,2024-11-01,,,,,,
,Liquor Retailer,Thirstycamel,2024-12-01,,,,,,
,Liquor Retailer,Thirstycamel,2025-01-01,,,,,,
,Liquor Retailer,Thirstycamel,2025-02-01,,,,,,
,Liquor Retailer,Thirstycamel,2025-03-01,,,,,,
,Sugar confectionery,Allens,2024-09-01,,,,,,
,Sugar confectionery,Allens,2024-10-01,,,,,,
,Sugar confectionery,Allens,2024-11-01,,,,,,
,Sugar confectionery,Allens,2024-12-01,,,,,,
,Sugar confectionery,Allens,2025-01-01,,,,,,
,Sugar confectionery,Allens,2025-02-01,,,,,,
,Sugar confectionery,Allens,2025-03-01,,,,,,
,Sugar confectionery,Darrell Lea,2024-09-01,,,,,,
,Sugar confectionery,Darrell Lea,2024-10-01,,,,,,
,Sugar confectionery,Darrell Lea,2024-11-01,,,,,,
,Sugar confectionery,Darrell Lea,2024-12-01,,,,,,
,Sugar confectionery,Darrell Lea,2025-01-01,,,,,,
,Sugar confectionery,Darrell Lea,2025-02-01,,,,,,
,Sugar confectionery,Darrell Lea,2025-03-01,,,,,,
,Sugar confectionery,Double ‘D’,2024-09-01,,,,,,
,Sugar confectionery,Double ‘D’,2024-10-01,,,,,,
,Sugar confectionery,Double ‘D’,2024-11-01,,,,,,
,Sugar confectionery,Double ‘D’,2024-12-01,,,,,,
,Sugar confectionery,Double ‘D’,2025-01-01,,,,,,
,Sugar confectionery,Double ‘D’,2025-02-01,,,,,,
,Sugar confectionery,Double ‘D’,2025-03-01,,,,,,
,Sugar confectionery,FUNDAY,2024-09-01,,,,,,
,Sugar confectionery,FUNDAY,2024-10-01,,,,,,
,Sugar confectionery,FUNDAY,2024-11-01,,,,,,
,Sugar confectionery,FUNDAY,2024-12-01,,,,,,
,Sugar confectionery,FUNDAY,2025-01-01,,,,,,
,Sugar confectionery,FUNDAY,2025-02-01,,,,,,
,Sugar confectionery,FUNDAY,2025-03-01,,,,,,
,Sugar confectionery,Haribo,2024-09-01,,,,,,
,Sugar confectionery,Haribo,2024-10-01,,,,,,
,Sugar confectionery,Haribo,2024-11-01,,,,,,
,Sugar confectionery,Haribo,2024-12-01,,,,,,
,Sugar confectionery,Haribo,2025-01-01,,,,,,
,Sugar confectionery,Haribo,2025-02-01,,,,,,
,Sugar confectionery,Haribo,2025-03-01,,,,,,
,Sugar confectionery,Health Lab,2025-02-01,,,,,,
,Sugar confectionery,Health Lab,2025-03-01,,,,,,
,Sugar confectionery,Life Savers,2024-09-01,,,,,,
,Sugar confectionery,Life Savers,2024-10-01,,,,,,
,Sugar confectionery,Life Savers,2024-11-01,,,,,,
,Sugar confectionery,Life Savers,2024-12-01,,,,,,
,Sugar confectionery,Life Savers,2025-01-01,,,,,,
,Sugar confectionery,Life Savers,2025-02-01,,,,,,
,Sugar confectionery,Life Savers,2025-03-01,,,,,,
,Sugar confectionery,Pascall,2024-09-01,,,,,,
,Sugar confectionery,Pascall,2024-10-01,,,,,,
,Sugar confectionery,Pascall,2024-11-01,,,,,,
,Sugar confectionery,Pascall,2024-12-01,,,,,,
,Sugar confectionery,Pascall,2025-01-01,,,,,,
,Sugar confectionery,Pascall,2025-02-01,,,,,,
,Sugar confectionery,Pascall,2025-03-01,,,,,,
,Sugar confectionery,Skittles,2024-09-01,,,,,,
,Sugar confectionery,Skittles,2024-10-01,,,,,,
,Sugar confectionery,Skittles,2024-11-01,,,,,,
,Sugar confectionery,Skittles,2024-12-01,,,,,,
,Sugar confectionery,Skittles,2025-01-01,,,,,,
,Sugar confectionery,Skittles,2025-02-01,,,,,,
,Sugar confectionery,Skittles,2025-03-01,,,,,,
,Sugar confectionery,Sour Patch,2024-09-01,,,,,,
,Sugar confectionery,Sour Patch,2024-10-01,,,,,,
,Sugar confectionery,Sour Patch,2024-11-01,,,,,,
,Sugar confectionery,Sour Patch,2024-12-01,,,,,,
,Sugar confectionery,Sour Patch,2025-01-01,,,,,,
,Sugar confectionery,Sour Patch,2025-02-01,,,,,,
,Sugar confectionery,Sour Patch,2025-03-01,,,,,,
,Sugar confectionery,The Natural Confectionery Co.,2024-09-01,,,,,,
,Sugar confectionery,The Natural Confectionery Co.,2024-10-01,,,,,,
,Sugar confectionery,The Natural Confectionery Co.,2024-11-01,,,,,,
,Sugar confectionery,The Natural Confectionery Co.,2024-12-01,,,,,,
,Sugar confectionery,The Natural Confectionery Co.,2025-01-01,,,,,,
,Sugar confectionery,The Natural Confectionery Co.,2025-02-01,,,,,,
,Sugar confectionery,The Natural Confectionery Co.,2025-03-01,,,,,,
,Sugar confectionery,Well Naturally,2024-09-01,,,,,,
,Sugar confectionery,Well Naturally,2024-10-01,,,,,,
,Sugar confectionery,Well Naturally,2024-11-01,,,,,,
,Sugar confectionery,Well Naturally,2024-12-01,,,,,,
,Sugar confectionery,Well Naturally,2025-01-01,,,,,,
,Sugar confectionery,Well Naturally,2025-02-01,,,,,,
,Sugar confectionery,Well Naturally,2025-03-01,,,,,,
